Year,Month,Realized Cash Ratio (RCR)
Last Year,January,0.85
Last Year,February,0.78
Last Year,March,0.76
Last Year,April,0.64
Last Year,May,0.82
Last Year,June,0.88
Last Year,July,0.90
Last Year,August,0.85
Last Year,September,0.83
Last Year,October,0.83
Last Year,November,0.84
Last Year,December,0.87
This Year,January,0.93
This Year,February,0.96
This Year,March,0.94
This Year,April,0.96
This Year,May,0.95
This Year,June,0.96
This Year,July,0.94
This Year,August,0.96
This Year,September,0.94
This Year,October,0.92
This Year,November,0.94
This Year,December,0.96
