author,anscombe_dataset,x,y
Francis Anscombe,Dataset I,10,8.04
Francis Anscombe,Dataset I,8,6.95
Francis Anscombe,Dataset I,13,7.58
Francis Anscombe,Dataset I,9,8.81
Francis Anscombe,Dataset I,11,8.33
Francis Anscombe,Dataset I,14,9.96
Francis Anscombe,Dataset I,6,7.24
Francis Anscombe,Dataset I,4,4.26
Francis Anscombe,Dataset I,12,10.84
Francis Anscombe,Dataset I,7,4.82
Francis Anscombe,Dataset I,5,5.68
Francis Anscombe,Dataset I,10,9.14
Francis Anscombe,Dataset II,8,8.14
Francis Anscombe,Dataset II,13,8.74
Francis Anscombe,Dataset II,9,8.77
Francis Anscombe,Dataset II,11,9.26
Francis Anscombe,Dataset II,14,8.1
Francis Anscombe,Dataset II,6,6.13
Francis Anscombe,Dataset II,4,3.1
Francis Anscombe,Dataset II,12,9.13
Francis Anscombe,Dataset II,7,7.26
Francis Anscombe,Dataset II,5,4.74
Francis Anscombe,Dataset II,10,7.46
Francis Anscombe,Dataset III,8,6.77
Francis Anscombe,Dataset III,13,12.74
Francis Anscombe,Dataset III,9,7.11
Francis Anscombe,Dataset III,11,7.81
Francis Anscombe,Dataset III,14,8.84
Francis Anscombe,Dataset III,6,6.08
Francis Anscombe,Dataset III,4,5.39
Francis Anscombe,Dataset III,12,8.15
Francis Anscombe,Dataset III,7,6.42
Francis Anscombe,Dataset III,5,5.73
Francis Anscombe,Dataset III,8,6.58
Francis Anscombe,Dataset IV,8,5.76
Francis Anscombe,Dataset IV,8,7.71
Francis Anscombe,Dataset IV,8,8.84
Francis Anscombe,Dataset IV,8,8.47
Francis Anscombe,Dataset IV,8,7.04
Francis Anscombe,Dataset IV,8,5.25
Francis Anscombe,Dataset IV,19,12.5
Francis Anscombe,Dataset IV,8,5.56
Francis Anscombe,Dataset IV,8,7.91
Francis Anscombe,Dataset IV,8,6.89
