Assembly Nest,Location (mm),Stage
1,7.46,As-recieved
2,8.93,As-recieved
3,8.78,As-recieved
4,9.12,As-recieved
5,8.48,As-recieved
6,8.32,As-recieved
7,8.43,As-recieved
8,8.4,As-recieved
9,8.37,As-recieved
10,8.39,As-recieved
11,8.28,As-recieved
12,8.54,As-recieved
13,8.46,As-recieved
14,8.42,As-recieved
15,8.39,As-recieved
16,7.36,As-recieved
17,7.92,As-recieved
18,7.85,As-recieved
19,7.83,As-recieved
20,8.41,As-recieved
1,8.33,Adjusted
2,8.35,Adjusted
3,8.3,Adjusted
4,8.36,Adjusted
5,8.48,Adjusted
6,8.32,Adjusted
7,8.43,Adjusted
8,8.4,Adjusted
9,8.37,Adjusted
10,8.39,Adjusted
11,8.28,Adjusted
12,8.54,Adjusted
13,8.46,Adjusted
14,8.42,Adjusted
15,8.39,Adjusted
16,8.35,Adjusted
17,8.36,Adjusted
18,8.3,Adjusted
19,8.35,Adjusted
20,8.41,Adjusted
