MonthYear,Year,Month,Births,Deaths,Death-to-Birth Ratio (%)
January 1841,1841,January,254,37,14.6
February 1841,1841,February,239,18,7.5
March 1841,1841,March,277,12,4.3
April 1841,1841,April,255,4,1.6
May 1841,1841,May,255,2,0.8
June 1841,1841,June,200,10,5
July 1841,1841,July,190,16,8.4
August 1841,1841,August,222,3,1.4
September 1841,1841,September,213,4,1.9
October 1841,1841,October,236,26,11
November 1841,1841,November,235,53,22.6
December 1841,1841,December,,,
January 1842,1842,January,307,64,20.8
February 1842,1842,February,311,38,12.2
March 1842,1842,March,264,27,10.2
April 1842,1842,April,242,26,10.7
May 1842,1842,May,310,10,3.2
June 1842,1842,June,273,18,6.6
July 1842,1842,July,231,48,20.8
August 1842,1842,August,216,55,25.5
September 1842,1842,September,223,41,18.4
October 1842,1842,October,242,71,29.3
November 1842,1842,November,209,48,23
December 1842,1842,December,239,75,31.4
January 1843,1843,January,272,52,19.1
February 1843,1843,February,263,42,16
Mar 1843,1843,March,266,33,12.4
April 1843,1843,April,285,34,11.9
May 1843,1843,May,246,15,6.1
June 1843,1843,June,196,8,4.1
July 1843,1843,July,191,1,0.5
August 1843,1843,August,193,3,1.6
September 1843,1843,September,221,5,2.3
October 1843,1843,October,250,44,17.6
November 1843,1843,November,252,18,7.1
December 1843,1843,December,236,19,8.1
January 1844,1844,January,244,37,15.2
February 1844,1844,February,257,29,11.3
March 1844,1844,March,276,47,17
April 1844,1844,April,208,36,17.3
May 1844,1844,May,240,14,5.8
June 1844,1844,June,224,6,2.7
July 1844,1844,July,206,9,4.4
August 1844,1844,August,269,17,6.3
September 1844,1844,September,245,3,1.2
October 1844,1844,October,248,8,3.2
November 1844,1844,November,245,27,11
December 1844,1844,December,256,27,10.5
January 1845,1845,January,303,23,7.6
February 1845,1845,February,274,13,4.7
March 1845,1845,March,292,13,4.5
April 1845,1845,April,260,11,4.2
May 1845,1845,May,296,13,4.4
June 1845,1845,June,280,20,7.1
July 1845,1845,July,245,15,6.1
August 1845,1845,August,251,9,3.6
September 1845,1845,September,237,25,10.5
October 1845,1845,October,283,42,14.8
November 1845,1845,November,265,29,10.9
December 1845,1845,December,267,28,10.5
January 1846,1846,January,336,45,13.4
February 1846,1846,February,293,53,18.1
March 1846,1846,March,311,48,15.4
April 1846,1846,April,253,48,19
May 1846,1846,May,305,41,13.4
June 1846,1846,June,266,27,10.2
July 1846,1846,July,252,33,13.1
August 1846,1846,August,216,39,18.1
September 1846,1846,September,271,39,14.4
October 1846,1846,October,254,38,15
November 1846,1846,November,297,32,10.8
December 1846,1846,December,298,16,5.4
January 1847,1847,January,311,10,3.2
February 1847,1847,February,312,6,1.9
March 1847,1847,March,305,11,3.6
April 1847,1847,April,312,57,18.3
May 1847,1847,May,294,36,12.2
June 1847,1847,June,268,6,2.2
July 1847,1847,July,250,3,1.2
August 1847,1847,August,264,5,1.9
September 1847,1847,September,262,12,4.6
October 1847,1847,October,278,11,4
November 1847,1847,November,246,11,4.5
December 1847,1847,December,273,8,2.9
January 1848,1848,January,283,10,3.5
February 1848,1848,February,291,2,0.7
March 1848,1848,March,276,0,0
April 1848,1848,April,305,2,0.7
May 1848,1848,May,313,3,1
June 1848,1848,June,264,3,1.1
July 1848,1848,July,269,1,0.4
August 1848,1848,August,261,0,0
September 1848,1848,September,312,3,1
October 1848,1848,October,299,7,2.3
November 1848,1848,November,310,9,2.9
December 1848,1848,December,373,5,1.3
January 1849,1849,January,403,9,2.2
February 1849,1849,February,389,12,3.1
March 1849,1849,March,406,20,4.9
