Stage,Value,Resistance
Initial measurement,1,5045
Initial measurement,2,4350
Initial measurement,3,4350
Initial measurement,4,3975
Initial measurement,5,2490
Initial measurement,6,4430
Initial measurement,7,4485
Initial measurement,8,4285
Initial measurement,9,3980
Initial measurement,10,3925
Initial measurement,11,3645
Initial measurement,12,3760
Initial measurement,13,3300
Initial measurement,14,3685
Initial measurement,15,3463
Initial measurement,16,5200
Initial measurement,17,5100
Initial measurement,18,4635
Initial measurement,19,5100
Initial measurement,20,5450
Initial measurement,21,4635
Initial measurement,22,4720
Initial measurement,23,4810
Initial measurement,24,4565
Initial measurement,25,4410
Initial measurement,26,4065
Initial measurement,27,4565
Initial measurement,28,5190
Initial measurement,29,4725
Initial measurement,30,4640
Initial measurement,31,4640
Initial measurement,32,4895
Initial measurement,33,4790
Initial measurement,34,4845
Initial measurement,35,4700
Initial measurement,36,4600
Initial measurement,37,4110
Initial measurement,38,4410
Initial measurement,39,4180
Initial measurement,40,4790
Initial measurement,41,4790
Initial measurement,42,4340
Initial measurement,43,4895
Initial measurement,44,5750
Initial measurement,45,4740
Initial measurement,46,5000
Initial measurement,47,4895
Initial measurement,48,4255
Initial measurement,49,4170
Initial measurement,50,3850
Initial measurement,51,4445
Initial measurement,52,4650
Initial measurement,53,4170
Initial measurement,54,4255
Initial measurement,55,4170
Initial measurement,56,4375
Initial measurement,57,4175
Initial measurement,58,4550
Initial measurement,59,4450
Initial measurement,60,2855
Initial measurement,61,2920
Initial measurement,62,4375
Initial measurement,63,4375
Initial measurement,64,4355
Initial measurement,65,4090
Initial measurement,66,5000
Initial measurement,67,4335
Initial measurement,68,5000
Initial measurement,69,4640
Initial measurement,70,4335
Initial measurement,71,5000
Initial measurement,72,4615
Initial measurement,73,4215
Initial measurement,74,425
Initial measurement,75,4275
Initial measurement,76,5000
Initial measurement,77,4615
Initial measurement,78,4735
Initial measurement,79,4215
Initial measurement,80,4700
Initial measurement,81,4700
Initial measurement,82,4700
Initial measurement,83,4700
Initial measurement,84,4095
Initial measurement,85,4095
Initial measurement,86,3940
Initial measurement,87,3700
Initial measurement,88,3650
Initial measurement,89,4445
Initial measurement,90,4000
Initial measurement,91,4845
Initial measurement,92,5000
Initial measurement,93,4560
Initial measurement,94,4700
Initial measurement,95,4310
Initial measurement,96,4310
Initial measurement,97,5000
Initial measurement,98,4575
Initial measurement,99,4700
Initial measurement,100,4430
Initial measurement,101,4850
Initial measurement,102,4850
Initial measurement,103,4570
Initial measurement,104,4570
Initial measurement,105,4855
Initial measurement,106,4160
Initial measurement,107,4325
Initial measurement,108,4125
Initial measurement,109,4100
Initial measurement,110,4340
Initial measurement,111,4575
Initial measurement,112,3875
Initial measurement,113,4050
Initial measurement,114,4050
Initial measurement,115,4685
Initial measurement,116,4685
Initial measurement,117,4430
Initial measurement,118,4300
Initial measurement,119,4690
Initial measurement,120,4560
Initial measurement,121,3075
Initial measurement,122,2965
Initial measurement,123,4080
Initial measurement,124,4080
Initial measurement,125,4425
Initial measurement,126,4300
Initial measurement,127,4430
Initial measurement,128,4840
Initial measurement,129,4840
Initial measurement,130,4310
Initial measurement,131,4185
Initial measurement,132,4570
Initial measurement,133,4700
Initial measurement,134,4440
Initial measurement,135,4850
Initial measurement,136,4125
Initial measurement,137,4450
Initial measurement,138,4450
Initial measurement,139,4850
Initial measurement,140,4450
Initial measurement,141,3635
Initial measurement,142,3635
Initial measurement,143,3635
Initial measurement,144,3900
Initial measurement,145,4340
Initial measurement,146,4340
Initial measurement,147,3665
