,Year,Month,DoM,Empty1,Empty2,Empty3,DayNum,Day-of-Year:,Harvest Info,date,Date
0,1354,Sep,23,,,(d-of-Yr):,266,Day-of-Year:,"rather early / Beaune (CO) / S:Labbé, GHD_Beaune",1354-Sep-23,
1,1355,Sep,29,,,(d-of-Yr):,272,Day-of-Year:,"average / Beaune (CO) / S:Labbé, GHD_Beaune",1355-Sep-29,
2,1356,Oct,14,,,(d-of-Yr):,288,Day-of-Year:,"extremely late / Beaune (CO) / S:Labbé, GHD_Beaune",1356-Oct-14,
3,1357,Sep,26,,,(d-of-Yr):,269,Day-of-Year:,"average / Beaune (CO) / S:Labbé, GHD_Beaune",1357-Sep-26,
4,1358,Sep,23,,,(d-of-Yr):,266,Day-of-Year:,"rather early / Beaune (CO) / S:Labbé, GHD_Beaune",1358-Sep-23,
5,1359,Oct,19,,,(d-of-Yr):,292,Day-of-Year:,"extremely late / Beaune (CO) / S:Labbé, GHD_Beaune",1359-Oct-19,
6,1360,Sep,18,,,(d-of-Yr):,262,Day-of-Year:,"early / Beaune (CO) / S:Labbé, GHD_Beaune",1360-Sep-18,
7,1361,Sep,18,,,(d-of-Yr):,261,Day-of-Year:,"early / Beaune (CO) / S:Labbé, GHD_Beaune",1361-Sep-18,
8,1362,Sep,25,,,(d-of-Yr):,268,Day-of-Year:,"average / Beaune (CO) / S:Labbé, GHD_Beaune",1362-Sep-25,
9,1363,Oct,2,,,(d-of-Yr):,275,Day-of-Year:,"rather late / Beaune (CO) / S:Labbé, GHD_Beaune",1363-Oct-2,
10,1364,Sep,27,,,(d-of-Yr):,271,Day-of-Year:,"average / Beaune (CO) / S:Labbé, GHD_Beaune",1364-Sep-27,
11,1365,Sep,25,,,(d-of-Yr):,268,Day-of-Year:,"average / Beaune (CO) / S:Labbé, GHD_Beaune",1365-Sep-25,
12,1366,Oct,13,,,(d-of-Yr):,286,Day-of-Year:,"extremely late / Beaune (CO) / S:Labbé, GHD_Beaune",1366-Oct-13,
13,1367,Oct,29,,,(d-of-Yr):,302,Day-of-Year:,"extremely late / Beaune (CO) / S:Labbé, GHD_Beaune",1367-Oct-29,
14,1368,Oct,6,,,(d-of-Yr):,280,Day-of-Year:,"late / Beaune (CO) / S:Labbé, GHD_Beaune",1368-Oct-6,
15,1369,Sep,27,,,(d-of-Yr):,270,Day-of-Year:,"average / Beaune (CO) / S:Labbé, GHD_Beaune",1369-Sep-27,
16,1370,Sep,24,,,(d-of-Yr):,267,Day-of-Year:,"rather early / Beaune (CO) / S:Labbé, GHD_Beaune",1370-Sep-24,
17,1371,Sep,24,,,(d-of-Yr):,267,Day-of-Year:,"rather early / Beaune (CO) / S:Labbé, GHD_Beaune",1371-Sep-24,
