YEAR,MURDER & NON-NEGL. MANSLAUGHTER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2000,673,2068,32562,25924,38352,49631,35442,184652
2001,649,1981,28202,23453,32763,46329,29531,162908
2002,587,2144,27229,21147,31275,45771,26656,154809
2003,597,2070,25989,19139,29110,46751,23413,147069
2004,570,1905,24373,18622,26976,48763,20884,142093
2005,539,1858,24722,17750,24117,48243,18246,135475
2006,596,1525,23739,17309,23143,46625,15745,128682
2007,496,1351,21809,17493,21762,44924,13174,121009
2008,523,1299,22401,16284,20725,44242,12482,117956
2009,471,1205,18601,16773,19430,39580,10670,106730
2010,536,1373,19486,16956,18600,37835,10329,105115
2011,515,1420,19717,18482,18720,38501,9314,106669
2012,419,1445,20144,19381,19168,42497,8093,111147
2013,335,1378,19128,20297,17429,45368,7400,111335
2014,333,1352,16539,20207,16765,43862,7664,106722
2015,352,1438,16931,20270,15125,44005,7332,105453
2016,335,1438,15500,20847,12990,44279,6327,101716
2017,292,1449,13956,20052,12083,43150,5676,96658
2018,295,1794,12913,20208,11687,43558,5428,95883
2019,319,1755,13371,20698,10783,43250,5430,95606
2020,468,1427,13106,20572,15478,35505,9037,95593
2021,488,1491,13831,22835,12811,40870,10415,102741
2022,438,1617,17411,26063,15746,51565,13749,126589
2023,391,1455,16910,27876,13773,50586,15795,126786
