,Part #,Target Length,Target Width,Measured Length,Measured Width
0,1,219.0,137.0,218.97,136.99
1,2,219.0,137.0,219.0,137.01
2,3,219.0,137.0,218.95,136.98
3,4,219.0,137.0,218.99,137.0
4,5,219.0,137.0,219.05,137.01
5,6,219.0,137.0,218.99,136.96
6,7,219.0,137.0,218.99,136.96
7,8,219.0,137.0,219.0,137.0
8,9,219.0,137.0,219.01,136.95
9,10,219.0,137.0,219.01,136.95
10,11,219.0,137.0,218.99,136.97
11,12,219.0,137.0,218.98,136.98
12,13,219.0,137.0,219.0,137.04
13,14,219.0,137.0,218.99,137.01
14,15,219.0,137.0,219.02,137.02
15,16,219.0,137.0,218.96,136.95
16,17,219.0,137.0,218.97,137.01
17,18,219.0,137.0,218.98,136.96
18,19,219.0,137.0,219.03,136.98
19,20,219.0,137.0,219.05,136.96
20,21,219.0,137.0,219.07,136.92
21,22,219.0,137.0,219.08,136.98
22,23,219.0,137.0,218.94,137.01
23,24,219.0,137.0,219.02,136.98
24,25,219.0,137.0,218.98,137.0
25,26,219.0,137.0,219.02,136.96
26,27,219.0,137.0,218.95,136.93
27,28,219.0,137.0,219.02,136.92
28,29,219.0,137.0,219.03,136.96
29,30,219.0,137.0,219.03,136.95
30,31,219.0,137.0,219.03,136.99
31,32,219.0,137.0,219.01,136.92
32,33,219.0,137.0,219.02,136.95
33,34,219.0,137.0,218.99,137.05
34,35,219.0,137.0,218.99,137.01
35,36,219.0,137.0,219.08,136.94
36,37,219.0,137.0,218.98,136.92
37,38,219.0,137.0,218.99,136.98
38,39,219.0,137.0,219.03,136.98
39,40,219.0,137.0,219.02,136.98
40,41,219.0,137.0,219.02,136.91
41,42,219.0,137.0,219.0,137.01
42,43,219.0,137.0,218.93,137.01
43,44,219.0,137.0,219.05,136.94
44,45,219.0,137.0,219.01,136.94
45,46,219.0,137.0,219.04,136.9
46,47,219.0,137.0,218.98,136.99
47,48,219.0,137.0,219.01,136.98
48,49,219.0,137.0,219.04,136.96
49,50,219.0,137.0,219.03,136.99
50,51,219.0,137.0,219.05,137.0
51,52,219.0,137.0,219.01,137.03
52,53,219.0,137.0,219.06,136.96
53,54,219.0,137.0,219.04,136.96
54,55,219.0,137.0,219.08,137.0
55,56,219.0,137.0,219.08,137.02
56,57,219.0,137.0,218.99,137.04
57,58,219.0,137.0,218.99,136.97
58,59,219.0,137.0,219.03,136.98
59,60,219.0,137.0,218.91,136.98
60,61,219.0,137.0,218.96,137.01
61,62,219.0,137.0,219.01,136.96
62,63,219.0,137.0,219.01,137.0
63,64,219.0,137.0,218.96,137.02
64,65,219.0,137.0,219.05,136.95
65,66,219.0,137.0,218.97,137.0
66,67,219.0,137.0,219.0,137.0
67,68,219.0,137.0,218.96,137.04
68,69,219.0,137.0,218.98,136.99
69,70,219.0,137.0,219.01,137.01
70,71,219.0,137.0,219.0,137.05
71,72,219.0,137.0,218.99,136.97
72,73,219.0,137.0,219.05,137.0
73,74,219.0,137.0,218.97,136.96
74,75,219.0,137.0,219.09,136.82
75,76,219.0,137.0,218.96,137.08
76,77,219.0,137.0,219.01,137.06
77,78,219.0,137.0,219.02,136.91
78,79,219.0,137.0,218.98,137.02
79,80,219.0,137.0,218.96,136.96
80,81,219.0,137.0,218.96,136.95
81,82,219.0,137.0,219.0,136.97
82,83,219.0,137.0,218.99,136.97
83,84,219.0,137.0,219.0,136.97
84,85,219.0,137.0,219.04,136.95
85,86,219.0,137.0,219.0,136.99
86,87,219.0,137.0,218.96,136.99
87,88,219.0,137.0,219.0,137.02
88,89,219.0,137.0,218.95,137.03
89,90,219.0,137.0,219.04,137.01
90,91,219.0,137.0,218.93,137.04
91,92,219.0,137.0,218.98,136.97
92,93,219.0,137.0,218.97,136.99
93,94,219.0,137.0,218.95,137.05
94,95,219.0,137.0,218.99,137.01
95,96,219.0,137.0,218.99,136.99
96,97,219.0,137.0,218.98,136.97
97,98,219.0,137.0,218.99,136.98
98,99,219.0,137.0,219.01,137.02
99,100,219.0,137.0,219.01,137.03
100,101,219.0,137.0,219.02,137.02
101,102,219.0,137.0,219.04,136.96
102,103,219.0,137.0,218.93,136.96
103,104,219.0,137.0,218.9,136.99
104,105,219.0,137.0,218.97,136.97
105,106,219.0,137.0,218.88,137.06
106,107,219.0,137.0,218.96,136.97
107,108,219.0,137.0,218.92,136.96
108,109,219.0,137.0,218.96,136.99
109,110,219.0,137.0,218.96,136.96
110,111,219.0,137.0,218.93,137.04
111,112,219.0,137.0,219.05,136.93
