Sample,X position (mm),Y position (mm),Process state
1,0.681,0.384,As-recieved
2,0.565,0.468,As-recieved
3,0.577,0.243,As-recieved
4,0.572,0.280,As-recieved
5,0.565,0.350,As-recieved
6,0.618,0.254,As-recieved
7,0.454,0.188,As-recieved
8,0.166,0.438,As-recieved
9,0.875,0.336,As-recieved
10,0.461,0.290,As-recieved
11,0.548,0.456,As-recieved
12,0.510,0.261,As-recieved
13,0.378,0.360,As-recieved
14,0.586,0.301,As-recieved
15,0.603,0.466,As-recieved
16,1.021,0.271,As-recieved
17,0.968,0.128,As-recieved
18,0.487,0.289,As-recieved
19,0.092,0.397,As-recieved
20,0.000,0.000,As-recieved
21,0.433,0.247,As-recieved
22,0.591,0.328,As-recieved
23,0.455,0.378,As-recieved
24,0.219,0.550,As-recieved
25,0.387,0.335,As-recieved
26,0.824,0.173,As-recieved
27,0.644,0.198,As-recieved
28,2.193,1.245,As-recieved
29,0.590,0.493,As-recieved
30,0.619,0.395,As-recieved
31,0.546,0.349,As-recieved
32,0.544,0.530,As-recieved
33,0.657,0.804,As-recieved
34,0.423,0.358,As-recieved
35,0.404,0.407,As-recieved
36,0.591,0.442,As-recieved
37,0.000,0.000,As-recieved
38,0.650,0.341,As-recieved
39,0.544,0.530,As-recieved
40,0.577,0.272,As-recieved
41,0.506,0.275,As-recieved
42,0.369,0.526,As-recieved
43,0.312,0.327,As-recieved
44,0.692,0.283,As-recieved
45,0.839,0.199,As-recieved
46,0.778,0.252,As-recieved
47,0.645,0.198,As-recieved
48,0.000,0.000,As-recieved
49,0.198,0.211,As-recieved
50,0.631,0.393,As-recieved
51,0.647,0.180,As-recieved
52,0.859,0.297,As-recieved
53,0.396,0.530,As-recieved
54,0.719,0.474,As-recieved
55,0.983,0.132,As-recieved
56,0.708,0.633,As-recieved
57,0.637,0.345,As-recieved
58,0.623,0.257,As-recieved
59,0.686,0.650,As-recieved
60,0.442,0.550,As-recieved
61,0.622,0.279,As-recieved
62,0.611,0.226,As-recieved
63,0.590,0.452,As-recieved
64,0.488,0.131,As-recieved
65,0.790,0.313,As-recieved
66,0.271,0.370,As-recieved
67,0.547,0.330,As-recieved
68,0.654,0.202,As-recieved
69,0.650,0.265,As-recieved
70,0.556,0.431,As-recieved
71,0.587,0.373,As-recieved
72,0.260,0.459,As-recieved
73,0.756,0.373,As-recieved
74,0.662,0.170,As-recieved
75,0.754,0.194,As-recieved
76,0.645,0.145,As-recieved
77,0.000,0.000,As-recieved
78,0.235,0.662,As-recieved
79,0.575,0.188,As-recieved
80,0.496,0.318,As-recieved
81,0.722,0.383,As-recieved
82,0.000,0.000,As-recieved
83,0.515,0.322,As-recieved
84,0.824,0.301,As-recieved
85,0.182,0.324,As-recieved
86,0.639,0.452,As-recieved
87,0.526,0.366,As-recieved
88,0.837,0.259,As-recieved
89,0.507,0.347,As-recieved
90,0.053,0.199,As-recieved
91,0.226,0.498,As-recieved
92,0.358,0.333,As-recieved
93,0.373,0.222,As-recieved
94,0.457,0.196,As-recieved
95,0.369,0.310,As-recieved
1,0.489,0.387,Initial shim
2,0.467,0.574,Initial shim
3,0.451,0.570,Initial shim
4,0.513,0.483,Initial shim
5,0.976,0.239,Initial shim
6,0.926,0.503,Initial shim
