YEAR,MURDER & NON-NEGL. MANSLAUGHTER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
"2,000",673,"2,068","32,562","25,924","38,352","49,631","35,442","184,652"
"2,001",649,"1,981","28,202","23,453","32,763","46,329","29,531","162,908"
"2,002",587,"2,144","27,229","21,147","31,275","45,771","26,656","154,809"
"2,003",597,"2,070","25,989","19,139","29,110","46,751","23,413","147,069"
"2,004",570,"1,905","24,373","18,622","26,976","48,763","20,884","142,093"
"2,005",539,"1,858","24,722","17,750","24,117","48,243","18,246","135,475"
"2,006",596,"1,525","23,739","17,309","23,143","46,625","15,745","128,682"
"2,007",496,"1,351","21,809","17,493","21,762","44,924","13,174","121,009"
"2,008",523,"1,299","22,401","16,284","20,725","44,242","12,482","117,956"
"2,009",471,"1,205","18,601","16,773","19,430","39,580","10,670","106,730"
"2,010",536,"1,373","19,486","16,956","18,600","37,835","10,329","105,115"
"2,011",515,"1,420","19,717","18,482","18,720","38,501","9,314","106,669"
"2,012",419,"1,445","20,144","19,381","19,168","42,497","8,093","111,147"
"2,013",335,"1,378","19,128","20,297","17,429","45,368","7,400","111,335"
"2,014",333,"1,352","16,539","20,207","16,765","43,862","7,664","106,722"
"2,015",352,"1,438","16,931","20,270","15,125","44,005","7,332","105,453"
"2,016",335,"1,438","15,500","20,847","12,990","44,279","6,327","101,716"
"2,017",292,"1,449","13,956","20,052","12,083","43,150","5,676","96,658"
"2,018",295,"1,794","12,913","20,208","11,687","43,558","5,428","95,883"
"2,019",319,"1,755","13,371","20,698","10,783","43,250","5,430","95,606"
"2,020",468,"1,427","13,106","20,572","15,478","35,505","9,037","95,593"
"2,021",488,"1,491","13,831","22,835","12,811","40,870","10,415","102,741"
"2,022",438,"1,617","17,411","26,063","15,746","51,565","13,749","126,589"
"2,023",391,"1,455","16,910","27,876","13,773","50,586","15,795","126,786"
